property_type,sector,bedRoom,bathroom,balcony,floorNum,facing,agePossession,built_up_area,study room,servant room,pooja room,luxury_score,furnish_score,floor_category,price
flat,gajulramaram,3.0,3.0,2,7.0,Not Available,Under Construction,1161.0,0.0,0.0,0.0,88.0,0.0,Mid Floor,0.76
flat,gajulramaram,3.0,2.0,2,3.0,Not Available,Under Construction,1161.0,0.0,0.0,0.0,59.0,0.0,Mid Floor,0.76
flat,tarnaka,3.0,2.0,2,4.0,West,Moderately Old,1490.0,0.0,0.0,0.0,97.0,0.0,Mid Floor,1.02
flat,kokapet,3.0,3.0,2,6.0,Not Available,Under Construction,1870.0,0.0,0.0,1.0,8.0,0.0,Mid Floor,1.45
flat,bowrampet,2.0,2.0,2,2.0,East,Relatively New,1122.0,0.0,0.0,0.0,148.0,0.0,Low Floor,0.59
flat,venkatapuram,2.0,2.0,3,0.0,West,Old Property,700.0,1.0,0.0,0.0,14.0,0.0,Low Floor,0.28
flat,gandimaisamma,2.0,2.0,2,1.0,East,Under Construction,1100.0,1.0,0.0,1.0,76.0,0.0,Low Floor,0.44
flat,gagan mahal,2.0,2.0,2,3.0,North,Old Property,1000.0,0.0,0.0,1.0,15.0,6.0,Mid Floor,0.7
flat,ghatkesar,2.0,2.0,1,2.0,East,New Property,905.0,0.0,0.0,0.0,74.0,3.0,Low Floor,0.38
flat,ghatkesar,3.0,3.0,2,4.0,East,New Property,1360.0,0.0,0.0,0.0,30.0,0.0,Mid Floor,0.58
flat,muthangi,2.0,2.0,2,5.0,East,Relatively New,1185.0,0.0,0.0,0.0,178.0,14.0,Mid Floor,0.75
flat,madinaguda,3.0,2.0,1,2.0,West,New Property,1400.0,0.0,0.0,0.0,22.0,0.0,Low Floor,0.89
flat,kokapet,3.0,3.0,3,9.0,West,Under Construction,2120.0,0.0,0.0,1.0,44.0,0.0,Mid Floor,2.15
flat,pocharam,2.0,2.0,1,2.0,North,Under Construction,1152.0,0.0,0.0,0.0,92.0,0.0,Low Floor,0.52
flat,pocharam,2.0,2.0,1,4.0,East,Relatively New,1205.0,0.0,0.0,0.0,0.0,14.0,Mid Floor,0.57
flat,manikonda,2.0,3.0,3,2.0,East,Moderately Old,1685.0,0.0,0.0,1.0,0.0,0.0,Low Floor,1.05
flat,haripuri colony,3.0,3.0,0,2.0,North-West,Under Construction,1652.0,0.0,0.0,0.0,0.0,0.0,Low Floor,1.0
flat,chandanagar,3.0,2.0,2,3.0,East,Old Property,1325.0,0.0,0.0,1.0,0.0,15.0,Mid Floor,0.82
flat,kondapur,2.0,2.0,2,13.0,East,Under Construction,1433.0,0.0,0.0,0.0,0.0,0.0,High Floor,1.36
flat,narsingi,3.0,3.0,2,3.0,Not Available,Relatively New,1770.0,0.0,0.0,0.0,0.0,0.0,Mid Floor,1.2
flat,osman nagar,3.0,3.0,3,0.0,Not Available,Moderately Old,2350.0,0.0,0.0,0.0,0.0,1.0,Low Floor,2.25
flat,kompally,2.0,2.0,1,3.0,West,New Property,1312.5499659999998,0.0,0.0,0.0,0.0,0.0,Mid Floor,0.74
flat,manikonda,3.0,3.0,2,5.0,East,Relatively New,2270.0,0.0,0.0,1.0,0.0,21.0,Mid Floor,1.7
flat,sanath nagar,3.0,3.0,2,3.0,North-East,Old Property,1645.0,0.0,0.0,1.0,0.0,21.0,Mid Floor,1.6
flat,suchitra,3.0,3.0,2,2.0,West,Moderately Old,1400.0,0.0,0.0,0.0,0.0,3.0,Low Floor,1.0
flat,tukkuguda,3.0,3.0,2,3.0,North-East,Under Construction,1530.0,1.0,0.0,1.0,0.0,0.0,Mid Floor,0.7
flat,manikonda,3.0,3.0,2,1.0,North,Old Property,1475.0,0.0,0.0,0.0,0.0,0.0,Low Floor,0.75
flat,narsingi,3.0,3.0,1,12.0,Not Available,Under Construction,2600.0,1.0,0.0,0.0,0.0,0.0,High Floor,1.69
flat,east marredpally,2.0,2.0,3,3.0,East,Old Property,1100.0,0.0,0.0,0.0,0.0,0.0,Mid Floor,0.6
flat,nagole,3.0,3.0,4,2.0,North-East,New Property,2200.0,1.0,0.0,1.0,0.0,0.0,Low Floor,2.0
flat,nizampet,3.0,3.0,2,2.0,Not Available,Old Property,1475.0,0.0,0.0,0.0,0.0,5.0,Low Floor,0.7
flat,aminpur,3.0,2.0,1,4.0,East,Under Construction,1039.0,0.0,0.0,0.0,0.0,0.0,Mid Floor,0.67
flat,manikonda,3.0,3.0,1,7.0,Not Available,Old Property,1923.0,0.0,0.0,0.0,0.0,11.0,Mid Floor,1.78
flat,bachupally,2.0,2.0,2,3.0,East,New Property,1160.0,0.0,0.0,0.0,0.0,0.0,Mid Floor,0.7
flat,peerzadiguda,3.0,3.0,2,2.0,West,New Property,1525.0,0.0,0.0,1.0,0.0,58.0,Low Floor,1.2
flat,ameerpet,3.0,3.0,2,9.0,West,New Property,2249.0,0.0,0.0,1.0,0.0,0.0,Mid Floor,2.35
flat,gachibowli,3.0,3.0,1,9.0,East,Relatively New,1993.0,1.0,0.0,0.0,0.0,37.0,Mid Floor,2.1
flat,kompally,3.0,2.0,1,7.0,East,New Property,1525.0,0.0,0.0,0.0,0.0,0.0,Mid Floor,0.97
flat,kukatpally,3.0,3.0,2,3.0,East,Moderately Old,1600.0,0.0,0.0,1.0,0.0,16.0,Mid Floor,1.3
flat,miyapur,3.0,2.0,3,0.0,West,Old Property,1526.0,0.0,0.0,1.0,0.0,0.0,Low Floor,0.84
flat,kondapur,3.0,3.0,2,3.0,East,Relatively New,1945.0,0.0,0.0,0.0,0.0,5.0,Mid Floor,1.5
flat,yapral,3.0,3.0,2,3.0,Not Available,Old Property,1550.0,0.0,0.0,0.0,0.0,7.0,Mid Floor,0.65
flat,shilpa hills,3.0,3.0,1,13.0,West,Moderately Old,2705.0,0.0,0.0,1.0,0.0,30.0,High Floor,3.0
flat,yapral,4.0,3.0,3,1.0,Not Available,Moderately Old,2564.0,0.0,0.0,0.0,0.0,20.0,Low Floor,1.8
flat,ramachandrapuram,3.0,3.0,2,5.0,West,New Property,1520.0,0.0,0.0,0.0,0.0,0.0,Mid Floor,0.96
flat,nallagandla,3.0,3.0,2,13.0,West,Under Construction,1754.0,0.0,0.0,0.0,0.0,0.0,High Floor,1.09
flat,nanakramguda,3.0,3.0,2,12.0,West,Moderately Old,1920.0,0.0,0.0,0.0,0.0,13.0,High Floor,1.65
flat,gachibowli,3.0,3.0,1,0.0,West,Relatively New,1725.0,0.0,0.0,0.0,0.0,86.0,Low Floor,1.76
flat,kondapur,3.0,3.0,3,12.0,East,New Property,2534.0,0.0,0.0,0.0,0.0,0.0,High Floor,2.3
flat,kukatpally,2.0,2.0,2,4.0,East,Moderately Old,1230.0,0.0,0.0,0.0,0.0,11.0,Mid Floor,0.74
flat,bachupally,2.0,2.0,2,3.0,East,New Property,1145.0,0.0,0.0,0.0,0.0,0.0,Mid Floor,0.71
flat,yapral,3.0,3.0,3,3.0,East,New Property,1790.0,0.0,0.0,1.0,0.0,0.0,Mid Floor,0.88
